PlotID	SampleID	TubeID	BarcodeID	PrimerPairID	Vol	Conc	Quantity	ProjectID	Investigator	PlatePosition	SpeciesID	HarvestYear
1H	Q2tz	A5	Golf321	ITS-1_4	15	0.63	NA	Zanne-ITS/Zanne-ITS	Zanne	A5	PIST	3
1H	Q2tz	A5	Golf321	LSU	15	2.84	NA	Zanne-LSU/Zanne-LSU	Zanne	A5	PIST	3
1H	Q2tz	A5	Golf321	16S	15	20.67	NA	Zanne-16S/Zanne-16S	Zanne	A5	PIST	3
1H	Q2bz	B5	Golf322	ITS-1_4	15	0.66	NA	Zanne-ITS/Zanne-ITS	Zanne	B5	PIST	3
1H	Q2bz	B5	Golf322	LSU	15	5.85	NA	Zanne-LSU/Zanne-LSU	Zanne	B5	PIST	3
1H	Q2bz	B5	Golf322	16S	15	17.17	NA	Zanne-16S/Zanne-16S	Zanne	B5	PIST	3
1H	R2tz	C5	Golf323	ITS-1_4	15	0.68	NA	Zanne-ITS/Zanne-ITS	Zanne	C5	PLOC	3
1H	R2tz	C5	Golf323	LSU	15	31.42	NA	Zanne-LSU/Zanne-LSU	Zanne	C5	PLOC	3
1H	R2tz	C5	Golf323	16S	15	33.8	NA	Zanne-16S/Zanne-16S	Zanne	C5	PLOC	3
1H	R2bz	D5	Golf324	ITS-1_4	15	0.66	NA	Zanne-ITS/Zanne-ITS	Zanne	D5	PLOC	3
1H	R2bz	D5	Golf324	LSU	15	35.35	NA	Zanne-LSU/Zanne-LSU	Zanne	D5	PLOC	3
1H	R2bz	D5	Golf324	16S	15	31.56	NA	Zanne-16S/Zanne-16S	Zanne	D5	PLOC	3
1H	S2tz	E5	Golf325	ITS-1_4	15	0.67	NA	Zanne-ITS/Zanne-ITS	Zanne	E5	PRSE/PRVI	3
1H	S2tz	E5	Golf325	LSU	15	6.39	NA	Zanne-LSU/Zanne-LSU	Zanne	E5	PRSE/PRVI	3
1H	S2tz	E5	Golf325	16S	15	30.2	NA	Zanne-16S/Zanne-16S	Zanne	E5	PRSE/PRVI	3
1H	S2bz	F5	Golf326	ITS-1_4	15	0.68	NA	Zanne-ITS/Zanne-ITS	Zanne	F5	PRSE/PRVI	3
1H	S2bz	F5	Golf326	LSU	15	8.75	NA	Zanne-LSU/Zanne-LSU	Zanne	F5	PRSE/PRVI	3
1H	S2bz	F5	Golf326	16S	15	23.53	NA	Zanne-16S/Zanne-16S	Zanne	F5	PRSE/PRVI	3
1H	T2tz	G5	Golf327	ITS-1_4	15	0.66	NA	Zanne-ITS/Zanne-ITS	Zanne	G5	QUAL	1
1H	T2tz	G5	Golf327	LSU	15	2.98	NA	Zanne-LSU/Zanne-LSU	Zanne	G5	QUAL	1
1H	T2tz	G5	Golf327	16S	15	18.96	NA	Zanne-16S/Zanne-16S	Zanne	G5	QUAL	1
1H	T2bz	H5	Golf328	ITS-1_4	15	0.68	NA	Zanne-ITS/Zanne-ITS	Zanne	H5	QUAL	1
1H	T2bz	H5	Golf328	LSU	15	12.72	NA	Zanne-LSU/Zanne-LSU	Zanne	H5	QUAL	1
1H	T2bz	H5	Golf328	16S	15	28.55	NA	Zanne-16S/Zanne-16S	Zanne	H5	QUAL	1
3L	A5tz	A1	Alpha1	ITS-1_4	15	2.68	NA	Zanne-ITS/Zanne-ITS	Zanne	A1	ACRU	3
3L	A5tz	A1	Alpha1	LSU	15	23.88	NA	Zanne-LSU/Zanne-LSU	Zanne	A1	ACRU	3
3L	A5tz	A1	Alpha1	16S	15	2.23	NA	Zanne-16S/Zanne-16S	Zanne	A1	ACRU	3
3L	E5bz	B2	Alpha10	ITS-1_4	15	6.81	NA	Zanne-ITS/Zanne-ITS	Zanne	B2	CATO	3
3L	E5bz	B2	Alpha10	LSU	15	7.87	NA	Zanne-LSU/Zanne-LSU	Zanne	B2	CATO	3
3L	E5bz	B2	Alpha10	16S	15	4.92	NA	Zanne-16S/Zanne-16S	Zanne	B2	CATO	3
3L	F5tz	C2	Alpha11	ITS-1_4	15	5.08	NA	Zanne-ITS/Zanne-ITS	Zanne	C2	CEOC	3
3L	F5tz	C2	Alpha11	LSU	15	9.71	NA	Zanne-LSU/Zanne-LSU	Zanne	C2	CEOC	3
3L	F5tz	C2	Alpha11	16S	15	25.02	NA	Zanne-16S/Zanne-16S	Zanne	C2	CEOC	3
3L	F5bz	D2	Alpha12	ITS-1_4	15	5.25	NA	Zanne-ITS/Zanne-ITS	Zanne	D2	CEOC	3
3L	F5bz	D2	Alpha12	LSU	15	26.86	NA	Zanne-LSU/Zanne-LSU	Zanne	D2	CEOC	3
3L	F5bz	D2	Alpha12	16S	15	19.64	NA	Zanne-16S/Zanne-16S	Zanne	D2	CEOC	3
3L	G5tz	E2	Alpha13	ITS-1_4	15	5.85	NA	Zanne-ITS/Zanne-ITS	Zanne	E2	CEOC2	1
3L	G5tz	E2	Alpha13	LSU	15	29.11	NA	Zanne-LSU/Zanne-LSU	Zanne	E2	CEOC2	1
3L	G5tz	E2	Alpha13	16S	15	27.47	NA	Zanne-16S/Zanne-16S	Zanne	E2	CEOC2	1
3L	G5bz	F2	Alpha14	ITS-1_4	15	11.71	NA	Zanne-ITS/Zanne-ITS	Zanne	F2	CEOC2	1
3L	G5bz	F2	Alpha14	LSU	15	34.76	NA	Zanne-LSU/Zanne-LSU	Zanne	F2	CEOC2	1
3L	G5bz	F2	Alpha14	16S	15	29.2	NA	Zanne-16S/Zanne-16S	Zanne	F2	CEOC2	1
3L	H5tz	G2	Alpha15	ITS-1_4	15	2.78	NA	Zanne-ITS/Zanne-ITS	Zanne	G2	COFL	3
3L	H5tz	G2	Alpha15	LSU	15	17.93	NA	Zanne-LSU/Zanne-LSU	Zanne	G2	COFL	3
3L	H5tz	G2	Alpha15	16S	15	4.02	NA	Zanne-16S/Zanne-16S	Zanne	G2	COFL	3
3L	H5bz	H2	Alpha16	ITS-1_4	15	1.74	NA	Zanne-ITS/Zanne-ITS	Zanne	H2	COFL	3
3L	H5bz	H2	Alpha16	LSU	15	4.26	NA	Zanne-LSU/Zanne-LSU	Zanne	H2	COFL	3
3L	H5bz	H2	Alpha16	16S	15	2.95	NA	Zanne-16S/Zanne-16S	Zanne	H2	COFL	3
3L	I5tz	A3	Alpha17	ITS-1_4	15	2.19	NA	Zanne-ITS/Zanne-ITS	Zanne	A3	DIVI	3
3L	I5tz	A3	Alpha17	LSU	15	12.87	NA	Zanne-LSU/Zanne-LSU	Zanne	A3	DIVI	3
3L	I5tz	A3	Alpha17	16S	15	2.77	NA	Zanne-16S/Zanne-16S	Zanne	A3	DIVI	3
3L	I5bz	B3	Alpha18	ITS-1_4	15	3.74	NA	Zanne-ITS/Zanne-ITS	Zanne	B3	DIVI	3
3L	I5bz	B3	Alpha18	LSU	15	7.85	NA	Zanne-LSU/Zanne-LSU	Zanne	B3	DIVI	3
3L	I5bz	B3	Alpha18	16S	15	6.04	NA	Zanne-16S/Zanne-16S	Zanne	B3	DIVI	3
3L	J5tz	C3	Alpha19	ITS-1_4	15	2.4	NA	Zanne-ITS/Zanne-ITS	Zanne	C3	FRAM	3
3L	J5tz	C3	Alpha19	LSU	15	9.07	NA	Zanne-LSU/Zanne-LSU	Zanne	C3	FRAM	3
3L	J5tz	C3	Alpha19	16S	15	33.65	NA	Zanne-16S/Zanne-16S	Zanne	C3	FRAM	3
3L	A5bz	B1	Alpha2	ITS-1_4	15	2.23	NA	Zanne-ITS/Zanne-ITS	Zanne	B1	ACRU	3
3L	A5bz	B1	Alpha2	LSU	15	13.35	NA	Zanne-LSU/Zanne-LSU	Zanne	B1	ACRU	3
3L	A5bz	B1	Alpha2	16S	15	2.05	NA	Zanne-16S/Zanne-16S	Zanne	B1	ACRU	3
3L	J5bz	D3	Alpha20	ITS-1_4	15	3.59	NA	Zanne-ITS/Zanne-ITS	Zanne	D3	FRAM	3
3L	J5bz	D3	Alpha20	LSU	15	18.64	NA	Zanne-LSU/Zanne-LSU	Zanne	D3	FRAM	3
